# Weapon Series — Comparison, Meta Ranking and Drop Sources (Part 2)

Sections in this file: List of Weapon Series

== List of Weapon Series ==
★ | Icon | Series Name | Req. | Base (+0) | Max (+100) | Potentials / Weapon Types | Properties | Drop Info
Primm | Lv.1 | 177 | 1070 | Recycler Unit ⌊ | Variance: 70%~100% N/A | Central City Item Shop Common Drop
Multi-weapon Substitute | Lv.1 | 177 | 1070 | Recycler Unit ⌊ | Variance: 70%~100% Weapon Connector | 1500 (Purchase limit of 1 of each type per account, every 28 days)
Tzvia | Lv.4 | 195 | 1070 | Indomitable Unit ⌊ | Variance: 70%~100% N/A | Central City Item Shop Common Drop
Silver Primm | Lv.5 | 195 | 1070 | Recycler Unit ⌊ | Variance: 70%~100% C/Esperio I | Drop from Silver Enemies Drop from Battledia: Yellow
N-EXP | Lv.5 | 195 | 1070 | Recycler Unit ⌊ | Variance: 70%~100% C/Hi Perio | Obtained from AC Support Item Select Scratches
N-EXP II | Lv.5 | 195 | 1070 | Recycler Unit ⌊ | Variance: 70%~100% C/Hi Perio II | Obtained from AC Support Item Select Scratches
Renaissa | Lv.1 | 224 | 1071 | Swift Attack ⌊ | Variance: 75%~100% N/A | Previous Reward for completing Advice from Liu Lin II
Hextra | Lv.1 | 224 | 1071 | Swift Attack ⌊ | Variance: 75%~100% N/A | Reward for completing Advice from Liu Lin II
Theseus | Lv.8 | 223 | 1070 | Defensive Formation ⌊ | Variance: 75%~100% N/A | Uncommon Drop
Trois De | Lv.8 | 223 | 1070 | Offensive Formation ⌊ | Variance: 75%~100% N/A | Uncommon Drop
Gold Primm | Lv.10 | 223 | 1070 | Recycler Unit ⌊ | Variance: 70%~100% C/Esperio II | Drop from Gold Enemies Drop from Battledia: Yellow
Glissen | Lv.13 | 225 | 1072 | Valorous Unit ⌊ | Element: Variance: 70%~100% N/A | Obtained from the PSO2 9th Anniversary Event Drop from Ordinal Tower
Frostel | Lv.13 | 225 | 1072 | Valorous Unit ⌊ | Element: Variance: 70%~100% N/A | Obtained from the Autumn Moon Gazing Event Drop from Ordinal Tower
Resurgir | Lv.11 | 240 | 1037 | Dynamo Unit ⌊ | Variance: 75%~100% N/A | Rare Drop
Flamel | Lv.14 | 240 | 1037 | Valorous Unit ⌊ | Element: Variance: 70%~100% N/A | Obtained from the Halloween Fiesta Event Rare Drop from Ordinal Tower
Cattleya | Lv.14 | 242 | 1039 | Mustered Might Unit ⌊ | Variance: 75%~100% N/A | Rare Drop from Mt. Magnus
